id;name;extension;size;doc;doc_content_type;thumbnail;thumbnail_content_type;status;is_folder;version_controlled;version;owner;responsible
1;Azerbaijanian Manat override;mobile Bedfordshire teal;77346;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;NEW;false;false;70120;facilitate;Multi-lateral THX Rustic
2;Ergonomic;Union;17772;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_RELEASE_PROCESS;false;false;15423;Inverse strategize;Checking Account Applications
3;eyeballs AI auxiliary;Identity pricing structure Strategist;36264;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RELEASED;true;true;14065;e-services;Principal Marketing
4;West Virginia invoice;Buckinghamshire Operations;55748;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;true;false;97980;Personal Loan Account;withdrawal haptic ivory
5;pink Generic Granite Fish;Investment Account Factors;77808;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RELEASED;true;true;37646;pixel Rubber;Keyboard Nepal
6;interactive Savings Account generate;Knoll;23963;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;true;true;90133;Money Market Account sky blue Fantastic;Metal index transmitting
7;Awesome Tuvalu Solutions;national Fantastic;31605;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_RELEASE_PROCESS;true;true;70285;Money Market Account array;global e-services
8;enhance Investment Account Toys;Ville cross-platform bricks-and-clicks;40501;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_RELEASE_PROCESS;true;true;36694;Hat Small;Delaware
9;Rubber copy black;Guyana Dollar Berkshire optimal;75785;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;true;false;2099;Iraqi Dinar paradigms Port;Operations Cotton
10;Incredible Concrete;Health;36397;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;true;true;31382;even-keeled;navigate Quality Comoro Franc
