id;name;extension;size;doc;doc_content_type;thumbnail;thumbnail_content_type;status;is_folder;version_controlled;version;owner;responsible
1;Kansas Division 24/365;index Accountability Marketing;38055;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;false;false;58803;microchip yellow;Factors Engineer Rubber
2;Denar;maroon protocol;94061;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_RELEASE_PROCESS;true;true;19524;salmon Table Bedfordshire;invoice
3;North Carolina relationships;Australia;30050;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;true;true;96630;multi-byte;PCI
4;Minnesota Codes specifically reserved for testing purposes;maroon engineer access;48948;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;NEW;false;false;84017;Handmade Plastic Mouse networks;SSL channels black
5;Tunnel Stream;invoice Investment Account Home;23323;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_RELEASE_PROCESS;false;true;36473;Sports Senior;Electronics infrastructure bricks-and-clicks
6;Salad;Steel;48747;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;false;true;26282;Cotton Wooden;Rubber bricks-and-clicks Soft
7;quantify Belgium Grove;capacitor;12456;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RELEASED;true;true;33760;whiteboard;calculating Hat intuitive
8;feed schemas;circuit wireless;87510;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;NEW;false;true;69789;Brand sticky overriding;Direct open system
9;RSS;auxiliary deposit;41853;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;false;true;31657;Forward Sausages;matrix
10;data-warehouse Infrastructure;Generic frame Wooden;83696;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_RELEASE_PROCESS;false;false;16649;Corporate;transmitting generating moratorium
