id;start_date;end_date;language
1;2021-01-18T13:42:57;2021-01-18T11:33:12;SPANISH
2;2021-01-17T18:33:08;2021-01-18T13:37:33;SPANISH
3;2021-01-18T09:28:27;2021-01-17T20:02:36;FRENCH
4;2021-01-18T00:45:58;2021-01-18T12:17:24;FRENCH
5;2021-01-18T10:16:16;2021-01-18T15:03:15;FRENCH
6;2021-01-18T04:08:37;2021-01-18T16:16:51;FRENCH
7;2021-01-18T05:53:57;2021-01-17T23:44:48;FRENCH
8;2021-01-18T04:50:10;2021-01-18T15:06:18;SPANISH
9;2021-01-18T03:31:19;2021-01-18T00:12:42;SPANISH
10;2021-01-18T11:43:23;2021-01-17T22:17:53;SPANISH
